currency,amount,date_time,operation,operation_id
RUB,100000.0,2021-04-15 21:23:14,add,81189
RUB,-7700.0,2021-04-15 21:23:38,buy,22572
RUB,-7800.0,2021-04-15 21:37:09,buy,42694
RUB,-7700.0,2021-04-15 21:51:13,buy,73179
RUB,7500.0,2021-04-15 21:57:18,sell,73179
RUB,-800.0,2021-04-15 22:06:25,buy,49907
RUB,700.0,2021-04-15 22:11:34,sell,49907
RUB,-8000.0,2021-04-15 22:15:56,buy,38136
RUB,-800.0,2021-04-15 22:26:44,buy,19516
RUB,7000.0,2021-04-15 22:33:14,sell,38136
RUB,-750.0,2021-04-16 08:32:58,buy,30558
RUB,-755.0,2021-04-16 08:34:27,buy,91208
RUB,-756.4,2021-04-16 09:30:06,buy,52945
RUB,7715.0,2021-04-16 09:38:01,buy,14576
